# LocalTime, JulianDay, AmbientC, PrimaryC, SecondaryC, M3C, BackplateC
2019-09-17 17:24:40.3, 2458744.517133, -273.0, -273.0, -273.0, -273.0, -273.0
2019-09-17 17:24:50.3, 2458744.517249, -273.0, -273.0, -273.0, -273.0, -273.0
2019-09-17 17:25:40.3, 2458744.517828, -273.0, -273.0, -273.0, -273.0, 22.6
2019-09-17 17:25:50.3, 2458744.517944, 20.3, 23.0, 21.7, 23.3, 22.7
2019-09-17 17:26:00.3, 2458744.518059, -273.0, -273.0, -273.0, -273.0, -273.0
2019-09-17 17:26:30.3, 2458744.518407, 20.3, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:26:40.3, 2458744.518523, 20.3, 23.0, 21.7, 23.3, 22.7
2019-09-17 17:27:06.7, 2458744.518828, 20.2, -273.0, 21.6, -273.0, -273.0
2019-09-17 17:27:16.5, 2458744.518941, 20.3, 23.0, 21.7, 23.3, 22.7
2019-09-17 17:27:26.5, 2458744.519057, 20.3, 23.0, 21.7, 23.3, 22.7
2019-09-17 17:27:36.5, 2458744.519173, -273.0, 23.0, -273.0, 23.3, -273.0
2019-09-17 17:27:46.5, 2458744.519289, 20.3, 23.0, 21.7, 23.3, -273.0
2019-09-17 17:27:56.5, 2458744.519405, 20.3, 23.0, 21.7, 23.3, 22.7
2019-09-17 17:28:06.5, 2458744.519520, 20.3, 23.0, 21.7, 23.3, 22.7
2019-09-17 17:28:16.5, 2458744.519636, 20.3, 23.0, 21.7, 23.3, 22.7
2019-09-17 17:28:26.5, 2458744.519752, 20.3, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:28:36.5, 2458744.519867, 20.3, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:28:46.5, 2458744.519983, 20.3, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:28:56.5, 2458744.520099, 20.3, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:29:06.5, 2458744.520215, 20.3, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:29:16.5, 2458744.520331, 20.2, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:29:26.5, 2458744.520447, 20.2, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:29:36.6, 2458744.520563, 20.2, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:29:46.5, 2458744.520678, 20.2, 23.0, 21.6, 23.3, 22.7
2019-09-17 17:29:56.5, 2458744.520794, 20.2, 23.0, 21.6, 23.3, 22.6
2019-09-17 17:30:06.5, 2458744.520909, 20.2, 23.0, 21.6, 23.3, 22.6
2019-09-17 17:30:16.5, 2458744.521025, 20.1, 23.0, 21.6, 23.3, 22.6
2019-09-17 17:30:26.5, 2458744.521141, 20.1, 23.0, 21.6, 23.3, 22.6
2019-09-17 17:30:36.5, 2458744.521257, 20.1, 23.0, 21.6, 23.3, 22.6
2019-09-17 17:30:46.5, 2458744.521372, 20.1, 23.0, 21.5, 23.3, 22.6
2019-09-17 17:30:56.5, 2458744.521488, 20.1, 23.0, 21.6, 23.3, 22.6
2019-09-17 17:31:06.5, 2458744.521604, 20.1, 23.0, 21.6, 23.3, 22.6
2019-09-17 17:31:16.5, 2458744.521720, 20.1, 23.0, 21.6, 23.3, 22.6
2019-09-17 17:31:26.5, 2458744.521835, 20.1, 23.0, 21.5, 23.3, 22.6
