# LocalTime, JulianDay, AmbientC, PrimaryC, SecondaryC, M3C, BackplateC
2019-09-19 12:00:06.7, 2458746.291745, 24.6, 20.0, 22.8, 21.0, 22.0
2019-09-19 12:00:16.7, 2458746.291861, 24.6, 20.0, 22.9, 21.0, 22.0
2019-09-19 12:00:26.7, 2458746.291976, 24.6, 20.0, 22.9, 21.0, 22.0
2019-09-19 12:00:36.7, 2458746.292092, 24.6, 20.0, 22.9, 21.0, 22.0
2019-09-19 12:00:46.7, 2458746.292208, 24.7, 20.0, 22.9, 21.0, 22.1
2019-09-19 12:00:56.7, 2458746.292324, 24.6, 20.0, 22.9, 21.0, 22.1
2019-09-19 12:01:06.7, 2458746.292439, 24.6, 20.0, 22.9, 21.0, 22.1
2019-09-19 12:01:16.8, 2458746.292556, 24.6, 20.0, 22.9, 21.0, 22.1
2019-09-19 12:01:26.7, 2458746.292671, 24.7, 20.0, 22.9, 21.0, 22.1
2019-09-19 12:01:36.7, 2458746.292787, 24.7, 20.0, 23.0, 21.0, 22.1
2019-09-19 12:01:46.7, 2458746.292902, 24.7, 20.0, 22.9, 21.0, 22.1
2019-09-19 12:01:56.7, 2458746.293018, 24.6, 20.1, 22.9, 21.0, 22.1
2019-09-19 12:02:06.8, 2458746.293134, 24.7, 20.0, 23.0, 21.0, 22.1
2019-09-19 12:02:16.7, 2458746.293250, 24.6, 20.0, 23.0, 21.0, 22.1
2019-09-19 12:02:26.7, 2458746.293365, 24.7, 20.0, 23.0, 21.0, 22.1
2019-09-19 12:02:36.7, 2458746.293481, 24.7, 20.0, 23.0, 21.0, 22.1
2019-09-19 12:02:46.7, 2458746.293597, 24.7, 20.0, 23.0, 21.1, 22.1
2019-09-19 12:02:56.7, 2458746.293713, 24.7, 20.1, 23.0, 21.1, 22.1
2019-09-19 12:03:06.7, 2458746.293828, 24.7, 20.1, 23.0, 21.0, 22.1
2019-09-19 12:03:16.7, 2458746.293944, 24.7, 20.1, 23.0, 21.1, 22.1
2019-09-19 12:03:26.7, 2458746.294060, 24.7, 20.1, 23.0, 21.1, 22.1
2019-09-19 12:03:36.7, 2458746.294176, 24.7, 20.1, 23.0, 21.1, 22.1
2019-09-19 12:03:46.7, 2458746.294291, 24.7, 20.1, 23.0, 21.1, 22.1
2019-09-19 12:03:56.7, 2458746.294407, 24.7, 20.1, 23.0, 21.1, 22.1
2019-09-19 12:04:06.7, 2458746.294523, 24.7, 20.1, 23.0, 21.1, 22.1
2019-09-19 12:04:16.7, 2458746.294638, 24.7, 20.1, 23.0, 21.1, 22.1
2019-09-19 12:04:26.7, 2458746.294754, 24.8, 20.1, 23.0, 21.1, 22.1
2019-09-19 12:04:36.7, 2458746.294870, 24.8, 20.1, 23.0, 21.1, 22.1
