# LocalTime, JulianDay, AmbientC, PrimaryC, SecondaryC, M3C, BackplateC
2019-09-20 12:16:25.1, 2458747.303069, 14.8, 14.8, 14.6, 14.8, 15.6
2019-09-20 12:16:33.4, 2458747.303165, 18.8, 18.8, 16.6, 16.8, 17.6
2019-09-20 12:16:43.4, 2458747.303280, 20.8, 20.8, 20.6, 20.1, 21.6
2019-09-20 12:16:53.4, 2458747.303396, 22.7, 22.0, 21.1, 20.1, 22.0
2019-09-20 12:17:03.4, 2458747.303512, 22.8, 22.0, 21.1, 20.1, 22.0
2019-09-20 12:17:13.4, 2458747.303627, 22.7, 22.0, 21.1, 20.1, 22.0
2019-09-20 12:17:23.4, 2458747.303743, 22.8, 22.0, 21.1, 20.1, 22.0
2019-09-20 12:17:33.4, 2458747.303859, 22.8, 22.0, 21.1, 20.1, 22.0
2019-09-20 12:17:43.4, 2458747.303975, 22.8, 22.0, 21.1, 20.2, 22.0
2019-09-20 12:17:53.4, 2458747.304090, 22.8, 22.0, 21.1, 20.2, 22.0
2019-09-20 12:18:03.5, 2458747.304208, 22.7, 22.0, 21.2, 20.2, 22.0
2019-09-20 12:18:13.4, 2458747.304322, 22.7, 22.0, 21.2, 20.1, 22.0
2019-09-20 12:18:23.4, 2458747.304438, 22.7, 22.0, 21.1, 20.2, 22.0
2019-09-20 12:18:33.4, 2458747.304554, 22.8, 22.0, 21.2, 20.2, 22.0
2019-09-20 12:18:43.4, 2458747.304669, 22.7, 22.0, 21.2, 20.2, 22.1
2019-09-20 12:18:53.4, 2458747.304785, 22.8, 22.0, 21.2, 20.2, 22.0
2019-09-20 12:19:03.4, 2458747.304901, 22.8, 22.0, 21.2, 20.2, 22.0
2019-09-20 12:19:13.4, 2458747.305016, 22.8, 22.0, 21.2, 20.2, 22.0
2019-09-20 12:19:23.4, 2458747.305133, 22.8, 22.0, 21.2, 20.2, 22.1
2019-09-20 12:19:33.4, 2458747.305248, 22.8, 22.0, 21.3, 20.2, 22.1
2019-09-20 12:19:43.4, 2458747.305364, 22.7, 22.0, 21.2, 20.2, 22.1
2019-09-20 12:19:53.4, 2458747.305479, 22.8, 22.1, 21.2, 20.2, 22.1
2019-09-20 12:20:03.4, 2458747.305595, 22.7, 22.1, 21.2, 20.3, 22.1
2019-09-20 12:20:13.4, 2458747.305711, 22.8, 22.1, 21.2, 20.2, 22.1
2019-09-20 12:20:23.4, 2458747.305827, 22.8, 22.1, 21.2, 20.3, 22.1
2019-09-20 12:20:33.4, 2458747.305943, 22.8, 22.1, 21.2, 20.2, 22.1
2019-09-20 12:20:43.4, 2458747.306058, 22.7, 22.1, 21.3, 20.3, 22.1
2019-09-20 12:20:53.4, 2458747.306174, 22.7, 22.1, 21.3, 20.3, 22.1
2019-09-20 12:21:03.4, 2458747.306290, 22.8, 22.1, 21.3, 20.3, 22.1
2019-09-20 12:21:13.4, 2458747.306405, 22.8, 22.1, 21.3, 20.3, 22.1
2019-09-20 12:21:23.4, 2458747.306521, 22.8, 22.1, 21.3, 20.3, 22.1
2019-09-20 12:21:33.4, 2458747.306637, 22.8, 22.1, 21.3, 20.3, 22.1
2019-09-20 12:21:43.4, 2458747.306753, 22.8, 22.1, 21.3, 20.3, 22.1
2019-09-20 12:21:53.4, 2458747.306868, 22.8, 22.1, 21.3, 20.3, 22.1
