Map point # 1,        168.7500,       25.2809 
Map point # 2,        157.5000,       25.2809 
Map point # 3,        146.2500,       25.2809 
Map point # 4,        135.0000,       25.2809 
Map point # 5,        123.7500,       25.2809 
Map point # 6,        112.5000,       25.2809 
Map point # 7,        101.2500,       25.2809 
Map point # 8,         90.0000,       25.2809 
Map point # 9,         78.7500,       25.2809 
Map point # 10,        67.5000,       25.2809 
Map point # 11,        56.2500,       25.2809 
Map point # 12,        45.0000,       25.2809 
Map point # 13,        33.7500,       25.2809 
Map point # 14,        22.5000,       25.2809 
Map point # 15,        11.2500,       25.2809 
Map point # 16,         3.0000,       25.2809 
Map point # 17,         3.0000,       35.2809 
Map point # 18,        12.4138,       35.2809 
Map point # 19,        24.8276,       35.2809 
Map point # 20,        37.2414,       35.2809 
Map point # 21,        49.6552,       35.2809 
Map point # 22,        62.0690,       35.2809 
Map point # 23,        74.4828,       35.2809 
Map point # 24,        86.8966,       35.2809 
Map point # 25,        99.3103,       35.2809 
Map point # 26,       111.7241,       35.2809 
Map point # 27,       124.1379,       35.2809 
Map point # 28,       136.5517,       35.2809 
Map point # 29,       148.9655,       35.2809 
Map point # 30,       161.3793,       35.2809 
Map point # 31,       173.7931,       35.2809 
Map point # 32,       172.8000,       45.2809 
Map point # 33,       158.4000,       45.2809 
Map point # 34,       144.0000,       45.2809 
Map point # 35,       129.6000,       45.2809 
Map point # 36,       115.2000,       45.2809 
Map point # 37,       100.8000,       45.2809 
Map point # 38,        86.4000,       45.2809 
Map point # 39,        72.0000,       45.2809 
Map point # 40,        57.6000,       45.2809 
Map point # 41,        43.2000,       45.2809 
Map point # 42,        28.8000,       45.2809 
Map point # 43,        14.4000,       45.2809 
Map point # 44,         3.0000,       45.2809 
Map point # 45,         3.0000,       55.2809 
Map point # 46,        18.0000,       55.2809 
Map point # 47,        36.0000,       55.2809 
Map point # 48,        54.0000,       55.2809 
Map point # 49,        72.0000,       55.2809 
Map point # 50,        90.0000,       55.2809 
Map point # 51,       108.0000,       55.2809 
Map point # 52,       126.0000,       55.2809 
Map point # 53,       144.0000,       55.2809 
Map point # 54,       162.0000,       55.2809 
Map point # 55,       168.0000,       65.2809 
Map point # 56,       144.0000,       65.2809 
Map point # 57,       120.0000,       65.2809 
Map point # 58,        96.0000,       65.2809 
Map point # 59,        72.0000,       65.2809 
Map point # 60,        48.0000,       65.2809 
Map point # 61,        24.0000,       65.2809 
Map point # 62,         3.0000,       65.2809 
Map point # 63,         3.0000,       75.2809 
Map point # 64,        40.0000,       75.2809 
Map point # 65,        80.0000,       75.2809 
Map point # 66,       120.0000,       75.2809 
Map point # 67,       160.0000,       75.2809 
Map point # 68,         3.0000,       85.2809 
Map point # 69,       348.7500,       25.2809 
Map point # 70,       337.5000,       25.2809 
Map point # 71,       326.2500,       25.2809 
Map point # 72,       315.0000,       25.2809 
Map point # 73,       303.7500,       25.2809 
Map point # 74,       292.5000,       25.2809 
Map point # 75,       281.2500,       25.2809 
Map point # 76,       270.0000,       25.2809 
Map point # 77,       258.7500,       25.2809 
Map point # 78,       247.5000,       25.2809 
Map point # 79,       236.2500,       25.2809 
Map point # 80,       225.0000,       25.2809 
Map point # 81,       213.7500,       25.2809 
Map point # 82,       202.5000,       25.2809 
Map point # 83,       191.2500,       25.2809 
Map point # 84,       183.0000,       25.2809 
Map point # 85,       186.2069,       35.2809 
Map point # 86,       198.6207,       35.2809 
Map point # 87,       211.0345,       35.2809 
Map point # 88,       223.4483,       35.2809 
Map point # 89,       235.8621,       35.2809 
Map point # 90,       248.2759,       35.2809 
Map point # 91,       260.6897,       35.2809 
Map point # 92,       273.1034,       35.2809 
Map point # 93,       285.5172,       35.2809 
Map point # 94,       297.9310,       35.2809 
Map point # 95,       310.3448,       35.2809 
Map point # 96,       322.7586,       35.2809 
Map point # 97,       335.1724,       35.2809 
Map point # 98,       347.5862,       35.2809 
Map point # 99,       345.6000,       45.2809 
Map point # 100,      331.2000,       45.2809 
Map point # 101,      316.8000,       45.2809 
Map point # 102,      302.4000,       45.2809 
Map point # 103,      288.0000,       45.2809 
Map point # 104,      273.6000,       45.2809 
Map point # 105,      259.2000,       45.2809 
Map point # 106,      244.8000,       45.2809 
Map point # 107,      230.4000,       45.2809 
Map point # 108,      216.0000,       45.2809 
Map point # 109,      201.6000,       45.2809 
Map point # 110,      187.2000,       45.2809 
Map point # 111,      183.0000,       55.2809 
Map point # 112,      198.0000,       55.2809 
Map point # 113,      216.0000,       55.2809 
Map point # 114,      234.0000,       55.2809 
Map point # 115,      252.0000,       55.2809 
Map point # 116,      270.0000,       55.2809 
Map point # 117,      288.0000,       55.2809 
Map point # 118,      306.0000,       55.2809 
Map point # 119,      324.0000,       55.2809 
Map point # 120,      342.0000,       55.2809 
Map point # 121,      336.0000,       65.2809 
Map point # 122,      312.0000,       65.2809 
Map point # 123,      288.0000,       65.2809 
Map point # 124,      264.0000,       65.2809 
Map point # 125,      240.0000,       65.2809 
Map point # 126,      216.0000,       65.2809 
Map point # 127,      192.0000,       65.2809 
Map point # 128,      200.0000,       75.2809 
Map point # 129,      240.0000,       75.2809 
Map point # 130,      280.0000,       75.2809 
Map point # 131,      320.0000,       75.2809 
Map point # 132,      183.0000,       85.2809 
