Map point # 24,      340.0000,       30.3285
Map point # 25,      320.0000,       30.3285 
Map point # 26,      300.0000,       30.3285 
Map point # 27,      280.0000,       30.3285 
Map point # 28,      260.0000,       30.3285 
Map point # 29,      240.0000,       30.3285 
Map point # 30,      220.0000,       30.3285 
Map point # 31,      200.0000,       30.3285 
Map point # 32,      183.0000,       30.3285 
Map point # 33,      183.0000,       47.3285 
Map point # 34,      205.7143,       47.3285 
Map point # 35,      231.4286,       47.3285 
Map point # 36,      257.1429,       47.3285 
Map point # 37,      282.8571,       47.3285 
Map point # 38,      308.5714,       47.3285 
Map point # 39,      334.2857,       47.3285 
Map point # 40,      320.0000,       64.3285 
Map point # 41,      280.0000,       64.3285 
Map point # 42,      240.0000,       64.3285 
Map point # 43,      200.0000,       64.3285 
Map point # 44,      240.0000,       81.3285 
Map point # 1,       160.0000,       30.3285 
Map point # 2,       140.0000,       30.3285 
Map point # 3,       120.0000,       30.3285 
Map point # 4,       100.0000,       30.3285 
Map point # 5,        80.0000,       30.3285 
Map point # 6,        60.0000,       30.3285 
Map point # 7,        40.0000,       30.3285 
Map point # 8,        20.0000,       30.3285 
Map point # 9,         3.0000,       30.3285 
Map point # 10,        3.0000,       47.3285 
Map point # 11,       25.7143,       47.3285 
Map point # 12,       51.4286,       47.3285 
Map point # 13,       77.1429,       47.3285 
Map point # 14,      102.8571,       47.3285 
Map point # 15,      128.5714,       47.3285 
Map point # 16,      154.2857,       47.3285 
Map point # 17,      160.0000,       64.3285 
Map point # 18,      120.0000,       64.3285 
Map point # 19,       80.0000,       64.3285 
Map point # 20,       40.0000,       64.3285 
Map point # 21,        3.0000,       64.3285 
Map point # 22,        3.0000,       81.3285 
Map point # 23,      120.0000,       81.3285 












